"weight","SYMBOL"
0.000440708143164755,"TSPAN6"
-0.000433578442256827,"TNMD"
0.000465998763571387,"DPM1"
-0.000367380084711754,"SCYL3"
-5.02304311955094e-06,"C1orf112"
0.000413937314694994,"FUCA2"
0.000423741390410184,"GCLC"
9.76767943673567e-05,"NFYA"
-0.000229096361118301,"STPG1"
-0.000353605053031286,"NIPAL3"
0.000357394907265498,"LAS1L"
-0.000550001046325981,"ENPP4"
4.63387969176128e-05,"SEMA3F"
-0.000568949309162451,"CFTR"
0.000177785728175593,"ANKIB1"
0.000476050216982719,"CYP51A1"
0.000137987413660282,"KRIT1"
-8.43201879896725e-05,"RAD52"
0.000199452858388696,"BAD"
0.000377952924674848,"LAP3"
0.000421736816614171,"CD99"
-0.00107215088539564,"HS3ST1"
0.000175520750156472,"MAD1L1"
0.000533525537317054,"LASP1"
6.51613267070617e-05,"SNX11"
-0.000893887941853898,"TMEM176A"
0.00102322988933595,"M6PR"
-0.000150115526205248,"KLHL13"
0.000334428420671331,"ICA1"
0.000371722420041614,"DBNDD1"
0.000104274213400367,"ALS2"
-0.000424921154042656,"CASP10"
-0.000170668717203178,"CFLAR"
-0.000393595774719297,"TFPI"
0.000380433717901499,"NDUFAF7"
0.000513944218575902,"RBM5"
-0.000293458704816867,"MTMR7"
-0.000186393360960461,"SLC7A2"
0.000780244308457578,"ARF5"
-0.000422456502224175,"SARM1"
0.000411385645116314,"POLDIP2"
0.000221406777172081,"PLXND1"
0.000633793383282688,"AK2"
0.000719635400006487,"FKBP4"
-0.000510828827864748,"KDM1A"
0.000461838560006993,"RBM6"
-0.0003950356050735,"CAMKK1"
0.000206737817616806,"RECQL"
-0.000119219540065935,"VPS50"
-0.000845252841330308,"HSPB6"
-0.000125481409060934,"ARHGAP33"
0.00073756954493431,"NDUFAB1"
-0.00121614126343133,"ZMYND10"
-0.00222006537406075,"ARX"
0.000458711686981334,"SLC25A13"
4.13120687338456e-05,"ST7"
4.13120687338456e-05,"ST7-OT3"
0.000364148882174885,"CDC27"
-0.000929739904733664,"CALCR"
0.000224002014700514,"HCCS"
0.000290850687530843,"DVL2"
-0.000716324451382219,"PRSS22"
0.000292175711480454,"UPF1"
-0.000490692118914575,"SKAP2"
0.00107786790687963,"SLC25A5"
4.70130302040984e-05,"MCUB"
0.000180065229848066,"POLR2J"
0.000286309316173876,"DHX33"
-0.00238674645175613,"MEOX1"
-0.000832849763530492,"THSD7A"
0.000519628730994027,"LIG3"
0.000271935852269001,"RPAP3"
-0.000353006530491791,"ACSM3"
-0.000269812312688616,"REXO5"
0.000689317073278846,"CIAPIN1"
-0.000362887439163128,"FAM214B"
-0.00160449661856106,"COPZ2"
8.14560475070451e-05,"PRKAR2B"
-3.09943486608805e-05,"MSL3"
0.000204992796739462,"CREBBP"
-0.000190246117476928,"TSPOAP1"
-0.00157782589779583,"MPO"
2.72554371205033e-05,"GCFC2"
0.00030014075303996,"WDR54"
-0.000393717911510512,"CROT"
5.6177143454763e-05,"KMT2E"
0.000324421316700288,"RHBDD2"
-0.000551020988347293,"SOX8"
7.36429862287105e-06,"IBTK"
0.000413924130894346,"ZNF195"
8.59010362520045e-05,"MYCBP2"
-0.000155182635396163,"FBXL3"
5.68325216329442e-05,"PDK2"
3.01812661867462e-05,"ITGA3"
-0.000139675619420201,"ZFX"
0.000213563536516657,"LAMP2"
-0.000195834815053031,"ITGA2B"
0.000359552420709717,"GDE1"
0.000378578360265968,"REX1BD"
-0.000139177808621952,"CRLF1"
-0.000392184936893956,"OSBPL7"
0.000516191484553016,"TMEM98"
0.000125747258522929,"YBX2"
-0.00050152297827614,"ABCC8"
0.000409200904280994,"TMEM132A"
0.00058819150222876,"AP2B1"
-0.000426028711251225,"TAC1"
0.000188289739943517,"ZNF263"
-0.000676805403065081,"CX3CL1"
-1.42569190968792e-05,"SPATA20"
-0.000621463448563604,"CACNA1G"
0.000669780905107195,"TNFRSF12A"
-0.00018505846666387,"MAP3K9"
0.000502489946523539,"RALA"
0.000138053239913358,"BAIAP2L1"
-0.000274947919102564,"KDM7A"
0.000383008725110557,"ETV1"
0.000150703444139752,"AGK"
-1.41980691927759e-06,"PHTF2"
-6.42732146670271e-05,"CCL26"
0.00010162985578715,"FARP2"
-0.000584538970259602,"USH1C"
0.000640364291012706,"GGCT"
0.000476556629494237,"DBF4"
0.000343372406831185,"IFRD1"
-6.13552976464958e-05,"COX10"
0.000222477663836477,"GTF2IRD1"
0.000267610305872167,"PAF1"
0.000314024716196637,"VPS41"
-0.000125543054345537,"ARHGAP44"
0.000621794193177259,"ELAC2"
-0.000423305585753978,"ARSD"
0.000142048824633467,"PNPLA4"
0.00015229243642403,"ADIPOR2"
-0.000523066790545606,"CDKL3"
0.000214827855994285,"MARK4"
0.000420506624907343,"PROM1"
0.000537377365472399,"CCDC124"
0.000521985617401938,"PAFAH1B1"
-0.000810741093730748,"NOS2"
0.000453392032097449,"KIAA0100"
-0.000341402365926211,"GAS7"
0.000293814864092345,"TRAPPC6A"
-9.95262782987658e-05,"MATK"
-0.000402035507177641,"SCN4A"
-7.81927633694015e-06,"ST7L"
-0.000875045307397435,"PAX6"
0.000186295047603278,"RPUSD1"
2.48379136826975e-05,"RHBDF1"
0.000521457632898528,"LUC7L"
-2.76047621082304e-06,"CACNA2D2"
-0.00043821872470674,"BAIAP3"
0.000410786463394661,"TSR3"
7.17248945566326e-05,"PIGQ"
-7.42183246370583e-05,"CRAMP1"
9.74322477006028e-05,"TEAD3"
